City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
278,sao filipe,14.8961,-24.4956,295.51,67,24,1.63,CV
279,galesong,-5.3166,119.3661,304.16,65,78,2.16,ID
280,shenjiamen,29.9576,122.298,285.44,57,36,4.88,CN
281,yatou,37.15,122.3833,278.79,36,0,6.81,CN
282,voloshka,61.3314,40.0858,263.88,93,100,3.24,RU
283,natal,-5.795,-35.2094,298.51,83,40,3.6,BR
284,pochutla,15.7432,-96.4661,296.38,68,0,1.49,MX
285,lamu,-2.2717,40.902,296.27,73,98,1.67,KE
286,clarence town,-32.5833,151.7833,297.12,46,60,4.22,AU
287,alice springs,-23.7,133.8833,312.9,7,2,6.69,AU
288,brumunddal,60.881,10.9395,265.21,92,99,1.47,NO
289,verkhoyansk,67.5447,133.385,244.96,100,100,0.83,RU
290,sampit,-2.5333,112.95,304.4,64,94,0.43,ID
291,brownsville,25.9018,-97.4975,296.53,93,40,5.14,US
292,bilibino,68.0546,166.4372,255.98,72,100,2.9,RU
293,bengkulu,-3.8004,102.2655,301.08,70,100,1.94,ID
294,keflavik,64.0049,-22.5624,275.39,87,0,1.54,IS
295,lumphat,13.4878,106.9816,304.76,49,34,4.77,KH
296,kangaba,11.9333,-8.4167,297.39,33,87,1.65,ML
297,klaksvik,62.2266,-6.589,276.66,62,94,11.23,FO
298,krasnoznamensk,55.5994,37.0386,263.1,79,0,4.0,RU
299,waddan,29.1614,16.139,291.43,23,14,3.05,LY
300,vila,42.0304,-8.1588,277.64,93,86,0.97,PT
301,pangnirtung,66.1451,-65.7125,265.56,96,100,1.11,CA
302,kalmunai,7.4167,81.8167,299.94,77,100,4.76,LK
303,torbay,47.6666,-52.7314,277.46,95,100,2.24,CA
304,komsomolskiy,40.4272,71.7189,272.55,74,75,2.06,UZ
305,cicero dantas,-10.6,-38.3833,293.03,97,35,1.69,BR
306,chiang klang,19.2938,100.8617,301.57,61,26,1.26,TH
307,la rioja,42.25,-2.5,274.03,92,100,1.69,ES
308,tapachula,14.9,-92.2833,297.44,100,20,0.0,MX
309,opuwo,-18.0607,13.84,290.84,38,4,0.57,NA
310,gornyak,50.9942,81.4661,254.28,95,98,1.67,RU
311,shingu,33.7333,135.9833,286.59,41,0,2.88,JP
312,rabo de peixe,37.8,-25.5833,289.88,99,20,6.17,PT
313,prabumulih,-3.45,104.25,300.01,87,98,0.95,ID
314,quelimane,-17.8786,36.8883,299.9,76,14,3.51,MZ
315,saldana,3.9292,-75.0152,294.86,88,34,0.61,CO
316,poronaysk,49.2167,143.1167,267.53,64,34,6.28,RU
317,zelenets,61.8849,50.7489,258.38,92,95,2.41,RU
318,hirara,24.8,125.2833,295.26,76,100,12.07,JP
319,sabha,27.0377,14.4283,290.94,22,0,5.03,LY
320,pemberton,50.3164,-122.8027,273.26,97,47,1.19,CA
321,mulchen,-37.7167,-72.2333,286.68,81,0,1.65,CL
322,san quintin,30.4833,-115.95,288.26,70,0,6.91,MX
323,kodiak,57.79,-152.4072,272.88,93,0,1.54,US
324,placido de castro,-10.3353,-67.1856,294.52,95,100,1.34,BR
325,lixourion,38.2019,20.4314,287.94,87,100,3.88,GR
326,asau,46.4333,26.4,271.66,98,100,1.37,RO
327,lufilufi,-13.8745,-171.5986,303.03,72,96,3.15,WS
328,ryazanovskiy,55.55,39.4333,264.4,78,100,3.04,RU
329,nagato,34.3833,131.2,282.51,49,11,7.69,JP
330,alenquer,-1.9417,-54.7383,296.24,87,86,1.69,BR
331,porangatu,-13.4408,-49.1486,294.37,93,100,1.36,BR
332,gold coast,-28.0,153.4333,311.18,52,0,8.23,AU
333,zima,53.9202,102.0442,264.42,58,100,6.24,RU
334,vila franca do campo,37.7167,-25.4333,290.38,77,71,3.75,PT
335,plast,54.3691,60.8136,247.31,100,96,1.02,RU
336,boden,65.8252,21.6886,269.15,96,53,1.0,SE
337,evensk,61.95,159.2333,252.46,85,37,3.01,RU
338,moose factory,51.2585,-80.6094,253.14,77,100,4.63,CA
339,suba,10.8438,121.0102,301.2,71,52,5.85,PH
340,flin flon,54.7682,-101.865,248.95,93,100,2.44,CA
341,tazovskiy,67.4667,78.7,261.05,93,100,5.96,RU
342,cape canaveral,28.4058,-80.6048,295.93,85,0,1.54,US
343,pryozerne,45.2698,36.3303,273.1,82,66,9.14,UA
344,lingyuan,41.24,119.4011,271.51,18,0,6.88,CN
345,chatrapur,19.35,84.9833,297.47,53,11,2.95,IN
346,baykit,61.67,96.37,258.22,95,92,2.79,RU
347,tabuny,52.7773,78.7896,252.67,99,94,1.85,RU
348,raudeberg,61.9875,5.1352,275.52,79,99,13.35,NO
349,boulder city,35.9786,-114.8325,284.51,50,0,0.0,US
350,bonthe,7.5264,-12.505,298.15,88,53,0.53,SL
351,seymchan,62.8833,152.4333,226.78,98,51,0.23,RU
352,gimli,50.6336,-96.9907,245.67,96,34,2.05,CA
353,batagay-alyta,67.8006,130.4114,242.79,98,100,1.38,RU
354,slave lake,55.2834,-114.769,249.72,74,94,2.94,CA
355,bardiyah,31.7561,25.0865,289.06,76,4,2.87,LY
356,asandh,29.5167,76.6,290.54,32,0,3.12,IN
357,labuhan,-6.8844,112.2051,303.27,64,98,1.31,ID
358,ixtapa,20.7,-105.2,297.72,88,75,0.0,MX
359,chiusi,43.016,11.9475,284.77,92,100,2.08,IT
360,bambanglipuro,-7.95,110.2833,302.73,69,98,2.8,ID
361,muros,42.7762,-9.0603,283.2,94,85,1.61,ES
362,killybegs,54.6333,-8.45,276.81,81,7,3.61,IE
363,svetlogorsk,52.6333,29.7333,264.14,90,93,4.58,BY
364,pryazha,61.6926,33.6216,266.72,90,100,4.23,RU
365,coahuayana,18.7333,-103.6833,296.61,91,6,0.98,MX
366,kargopol,61.5071,38.9456,264.11,94,100,3.7,RU
367,kinablangan,7.6947,126.5503,301.73,72,60,2.98,PH
368,oussouye,12.485,-16.5469,295.45,71,5,2.37,SN
369,vukovar,45.3433,18.9997,275.02,100,53,1.03,HR
370,tura,25.5198,90.2201,296.21,55,0,0.17,IN
371,turukhansk,65.8167,87.9833,267.13,95,100,5.66,RU
372,vao,-22.6667,167.4833,298.24,86,91,4.99,NC
373,yerbogachen,61.2767,108.0108,259.26,94,100,3.79,RU
374,thinadhoo,0.5333,72.9333,300.64,75,76,4.57,MV
375,puerto ayacucho,5.6639,-67.6236,296.61,86,68,2.0,VE
376,tukrah,32.5341,20.5791,290.08,50,32,1.56,LY
377,khani,41.9563,42.9566,274.91,82,99,1.69,GE
